378 FC_Barcelona_ Dinamo_Kiev_ 1 2
379 Sevilla_FC_ Rangers_FC_ 1 3
380 Arsenal_FC_ Olympiacos_ 1 2
381 Girondins_Bordeaux_ Maccabi_Haifa_ 1 1
382 CSKA_Moskva_ Beşiktaş_İstanbul_JK_ 1 1
383 Manchester_United_FC_ VfL_Wolfsburg_ 1 1
384 FC_Zurich_ AC_Milan_ 1 1
385 Real_Madrid_CF_ Olympique_Marseille_ 1 3
386 Chelsea_FC_ APOEL_Nikosia_ 1 1
387 FC_Porto_ Atletico_Madrid_ 1 2
388 ACF_Fiorentina_ Debreceni_VSC_ 1 1
389 Olympique_Lyon_ Liverpool_FC_ 1 1
390 Rubin_Kazan_ FC_Barcelona_ 1 1
391 Sevilla_FC_ VfB_Stuttgart_ 1 2
392 Unirea_Urziceni_ Rangers_FC_ 1 3
393 Olympiacos_ Standard_Liege_ 1 1
394 Girondins_Bordeaux_ Bayern_München_ 1 1
395 Juventus_ Maccabi_Haifa_ 1 1
396 Manchester_United_FC_ CSKA_Moskva_ 1 1
397 AC_Milan_ Real_Madrid_CF_ 1 1
398 Olympique_Marseille_ FC_Zurich_ 1 1
399 Chelsea_FC_ Atletico_Madrid_ 1 4
400 FC_Porto_ APOEL_Nikosia_ 1 1
401 Girondins_Bordeaux_ Bayern_München_ 1 2
402 Juventus_ Maccabi_Haifa_ 1 1
403 VfL_Wolfsburg_ Beşiktaş_İstanbul_JK_ 1 3
404 Olympique_Marseille_ FC_Zurich_ 1 5
405 FC_Porto_ APOEL_Nikosia_ 1 1
406 ACF_Fiorentina_ Debreceni_VSC_ 1 3
407 Internazionale_ Dinamo_Kiev_ 1 1
408 Standard_Liege_ Olympiacos_ 1 2
409 Arsenal_FC_ AZ_Alkmaar_ 1 3
410 ACF_Fiorentina_ Olympique_Lyon_ 1 1
411 Liverpool_FC_ Debreceni_VSC_ 1 1
412 FC_Barcelona_ Internazionale_ 1 2
413 Unirea_Urziceni_ Sevilla_FC_ 1 1
414 VfB_Stuttgart_ Rangers_FC_ 1 2
415 Arsenal_FC_ Standard_Liege_ 1 2
416 Girondins_Bordeaux_ Juventus_ 1 2
417 Bayern_München_ Maccabi_Haifa_ 1 1
418 CSKA_Moskva_ VfL_Wolfsburg_ 1 1
419 Beşiktaş_İstanbul_JK_ Manchester_United_FC_ 1 1
420 Real_Madrid_CF_ FC_Zurich_ 1 1
421 Chelsea_FC_ FC_Porto_ 1 1
422 Bayern_München_ Juventus_ 1 3
423 Girondins_Bordeaux_ Maccabi_Haifa_ 1 1
424 CSKA_Moskva_ Beşiktaş_İstanbul_JK_ 1 1
425 Manchester_United_FC_ VfL_Wolfsburg_ 1 2
426 Real_Madrid_CF_ Olympique_Marseille_ 1 2
427 FC_Porto_ Atletico_Madrid_ 1 3
428 ACF_Fiorentina_ Liverpool_FC_ 1 1
429 Olympique_Lyon_ Debreceni_VSC_ 1 4
430 Internazionale_ Rubin_Kazan_ 1 2
431 FC_Barcelona_ Dinamo_Kiev_ 1 1
432 VfB_Stuttgart_ Unirea_Urziceni_ 1 2
433 Sevilla_FC_ Rangers_FC_ 1 1
434 Olympiacos_ Arsenal_FC_ 1 1
435 Manchester_United_FC_ AC_Milan_ 1 1
436 Olympique_Lyon_ Real_Madrid_CF_ 1 1
437 Bayern_München_ ACF_Fiorentina_ 1 1
438 FC_Porto_ Arsenal_FC_ 1 1
439 Girondins_Bordeaux_ Olympiacos_ 1 1
440 Internazionale_ Chelsea_FC_ 1 1
441 ACF_Fiorentina_ Bayern_München_ 1 1
442 Arsenal_FC_ FC_Porto_ 1 5
